group,Consulting,Data,Design,Development,Engineering,Finance,Healthcare,Infrastructure,Legal,Location,Management,Marketing,Other,SAP,Testing,Work Model
Consulting,1.0,0.940233381997885,0.6527845009058457,0.7711456860813675,0.6190850199315746,0.9706553179499815,0.945411727348598,0.6164035810615222,-0.5800094562457607,0.8793397977071749,0.8472897740658561,0.7255564625466748,0.9341742374138999,0.9568360179224531,0.9191167318576214,0.8772600607742573
Data,0.940233381997885,1.0,0.7502730473767292,0.8233255782254324,0.7353973367994586,0.9031151246394354,0.8798635453405657,0.667770184710163,-0.4911751704706902,0.8868622485953691,0.879774707039346,0.7707059453198243,0.926840258417502,0.9127763602566858,0.9191870649441044,0.8856929256337482
Design,0.6527845009058457,0.7502730473767292,1.0,0.9529128957042784,0.8984917328640138,0.6001330045742352,0.6135243248686476,0.6079069195021002,-0.16604362633931202,0.9013979354481815,0.935270850785015,0.9619937498381481,0.8599430868276234,0.7619722598585805,0.8676170414218606,0.9035988871412248
Development,0.7711456860813675,0.8233255782254324,0.9529128957042784,1.0,0.936643844035331,0.7050762611679006,0.7263666936390191,0.6811931175250824,-0.2253091359833363,0.9555986971617596,0.9873798916515808,0.956747281597372,0.9330101078259756,0.8544410928733404,0.9269263348882743,0.9541956625926747
Engineering,0.6190850199315746,0.7353973367994586,0.8984917328640138,0.936643844035331,1.0,0.5417053355384239,0.590711187096342,0.6883717986790873,-0.04149694342291914,0.8293984557516445,0.8968308748337916,0.8499380445139557,0.8016266794029008,0.6881164111464751,0.7907491076672096,0.8276755096495556
Finance,0.9706553179499815,0.9031151246394354,0.6001330045742352,0.7050762611679006,0.5417053355384239,1.0,0.9505019875401086,0.5668087271263129,-0.6007990221993991,0.8416668689677241,0.7966778564910773,0.6697446563717036,0.9017165844625116,0.9338060427758573,0.8869863702022673,0.841101039668638
Healthcare,0.945411727348598,0.8798635453405657,0.6135243248686476,0.7263666936390191,0.590711187096342,0.9505019875401086,1.0,0.6312954420544844,-0.5291013074977766,0.8380136558494439,0.7974433367191441,0.6620192551849308,0.8939383658192218,0.9135370938611279,0.8786409315923859,0.8354563429777075
Infrastructure,0.6164035810615222,0.667770184710163,0.6079069195021002,0.6811931175250824,0.6883717986790873,0.5668087271263129,0.6312954420544844,1.0,0.04325897492095456,0.5802134814209878,0.6568708487081149,0.5010646318150729,0.6322840140884084,0.7067948637644007,0.6004756454866426,0.5735462909838013
Legal,-0.5800094562457607,-0.4911751704706902,-0.16604362633931202,-0.2253091359833363,-0.04149694342291914,-0.6007990221993991,-0.5291013074977766,0.04325897492095456,1.0,-0.4387929820174351,-0.3338030940572003,-0.3082829544624733,-0.47038842006212206,-0.4615777018976225,-0.48097803191906285,-0.4400275317909135
Location,0.8793397977071749,0.8868622485953691,0.9013979354481815,0.9555986971617596,0.8293984557516445,0.8416668689677241,0.8380136558494439,0.5802134814209878,-0.4387929820174351,1.0,0.9851965975600387,0.9498155722360342,0.988944500282593,0.9217861692576202,0.9885609617685873,0.9997892547616712
Management,0.8472897740658561,0.879774707039346,0.935270850785015,0.9873798916515808,0.8968308748337916,0.7966778564910773,0.7974433367191441,0.6568708487081149,-0.3338030940572003,0.9851965975600387,1.0,0.9592665749023095,0.974313025395646,0.9065499435885692,0.9681042640349057,0.9845901393883549
Marketing,0.7255564625466748,0.7707059453198243,0.9619937498381481,0.956747281597372,0.8499380445139557,0.6697446563717036,0.6620192551849308,0.5010646318150729,-0.3082829544624733,0.9498155722360342,0.9592665749023095,1.0,0.9092201397151346,0.8081200664467275,0.9141437099750894,0.951225137891775
Other,0.9341742374138999,0.926840258417502,0.8599430868276234,0.9330101078259756,0.8016266794029008,0.9017165844625116,0.8939383658192218,0.6322840140884084,-0.47038842006212206,0.988944500282593,0.974313025395646,0.9092201397151346,1.0,0.9600453267921517,0.9937973020682204,0.9879962975354942
SAP,0.9568360179224531,0.9127763602566858,0.7619722598585805,0.8544410928733404,0.6881164111464751,0.9338060427758573,0.9135370938611279,0.7067948637644007,-0.4615777018976225,0.9217861692576202,0.9065499435885692,0.8081200664467275,0.9600453267921517,1.0,0.9438777041249482,0.9196545007271519
Testing,0.9191167318576214,0.9191870649441044,0.8676170414218606,0.9269263348882743,0.7907491076672096,0.8869863702022673,0.8786409315923859,0.6004756454866426,-0.48097803191906285,0.9885609617685873,0.9681042640349057,0.9141437099750894,0.9937973020682204,0.9438777041249482,1.0,0.9878639405168185
Work Model,0.8772600607742573,0.8856929256337482,0.9035988871412248,0.9541956625926747,0.8276755096495556,0.841101039668638,0.8354563429777075,0.5735462909838013,-0.4400275317909135,0.9997892547616712,0.9845901393883549,0.951225137891775,0.9879962975354942,0.9196545007271519,0.9878639405168185,1.0
