,first_30_days_avg,last_30_days_avg,growth_rate
Location,0.0,13386.866666666667,inf
Work Model,0.0,12685.3,inf
Finance,15.133333333333333,1529.5666666666666,10007.268722466959
Consulting,132.23333333333332,2010.1666666666667,1420.1663725737335
Testing,116.63333333333334,1188.6,919.0911689054013
Healthcare,54.36666666666667,453.06666666666666,733.3537706928265
Marketing,104.2,504.6333333333333,384.29302623160584
Management,2669.4,9697.833333333334,263.29637121950003
SAP,2087.6,7245.233333333334,247.06042025930893
Development,3871.9666666666667,9790.266666666666,152.84997288199793
Data,831.9,1992.5666666666666,139.51997435589212
Engineering,2099.233333333333,3712.1666666666665,76.83439986026646
Design,524.4333333333333,856.6333333333333,63.3445623847963
Infrastructure,1634.0,2166.266666666667,32.57445940432478
Legal,105.8,26.8,-74.66918714555766
