category,first_date,first_value,last_date,last_value,growth_rate
Hybrid,2025-03-18,2073.0,2025-05-24,2263.0,9.165460684997589
IT-Dienstleistungen,2025-03-18,2047.0,2025-05-24,2211.0,8.01172447484123
IT,2025-03-18,2299.0,2025-05-24,2443.0,6.2635928664636795
Management und Beratungsdienste,2025-03-18,3905.0,2025-05-24,4148.0,6.222791293213828
Web- und Softwareentwicklung,2025-03-18,3149.0,2025-05-24,3342.0,6.128929818990156
Freiberuflich,2025-03-18,5964.0,2025-05-24,6310.0,5.801475519785379
Deutschland,2025-03-18,7265.0,2025-05-24,7604.0,4.666207845836201
Vor Ort,2025-03-18,2836.0,2025-05-24,2964.0,4.513399153737659
Remote,2025-03-18,2356.0,2025-05-24,2376.0,0.8488964346349746
Informations- und Kommunikationstechnologie,2025-03-18,2072.0,2025-05-24,1842.0,-11.1003861003861
